('episode:', 7000, ' /move_cnt:', 2523, ' / rnd:', 2503, ' / miss:', 2, ' / win:', 98, ' / p1Winner:', 47, ' / statistics:', [(u'average_q', 1.417278326855513), (u'average_loss', 0.09876085713157219)], ' / epsilon:', 0.99246898)
('episode:', 7100, ' /move_cnt:', 2478, ' / rnd:', 2454, ' / miss:', 1, ' / win:', 99, ' / p1Winner:', 46, ' / statistics:', [(u'average_q', 1.4505456166091142), (u'average_loss', 0.10219654058046183)], ' / epsilon:', 0.99235756)
('episode:', 7200, ' /move_cnt:', 2289, ' / rnd:', 2278, ' / miss:', 2, ' / win:', 98, ' / p1Winner:', 52, ' / statistics:', [(u'average_q', 1.4102797300713612), (u'average_loss', 0.08480586668529931)], ' / epsilon:', 0.99225424)
('episode:', 7300, ' /move_cnt:', 2157, ' / rnd:', 2140, ' / miss:', 0, ' / win:', 100, ' / p1Winner:', 51, ' / statistics:', [(u'average_q', 1.3466625431987302), (u'average_loss', 0.0976187623895797)], ' / epsilon:', 0.99215749)
('episode:', 7400, ' /move_cnt:', 2342, ' / rnd:', 2325, ' / miss:', 2, ' / win:', 98, ' / p1Winner:', 41, ' / statistics:', [(u'average_q', 1.4083355021151764), (u'average_loss', 0.092987154186782)], ' / epsilon:', 0.99204877)
('episode:', 7500, ' /move_cnt:', 2503, ' / rnd:', 2486, ' / miss:', 0, ' / win:', 100, ' / p1Winner:', 46, ' / statistics:', [(u'average_q', 1.4770090640759508), (u'average_loss', 0.11275004986120991)], ' / epsilon:', 0.99193573)
('episode:', 7600, ' /move_cnt:', 2549, ' / rnd:', 2533, ' / miss:', 0, ' / win:', 100, ' / p1Winner:', 46, ' / statistics:', [(u'average_q', 1.5651891830970506), (u'average_loss', 0.10917531271836063)], ' / epsilon:', 0.99182071)
('episode:', 7700, ' /move_cnt:', 2603, ' / rnd:', 2583, ' / miss:', 2, ' / win:', 98, ' / p1Winner:', 53, ' / statistics:', [(u'average_q', 1.5554755876596875), (u'average_loss', 0.11407664798647263)], ' / epsilon:', 0.99170821)
('episode:', 7800, ' /move_cnt:', 2478, ' / rnd:', 2450, ' / miss:', 2, ' / win:', 98, ' / p1Winner:', 45, ' / statistics:', [(u'average_q', 1.5095254237726548), (u'average_loss', 0.12278027089236287)], ' / epsilon:', 0.99159247)
('episode:', 7900, ' /move_cnt:', 2209, ' / rnd:', 2188, ' / miss:', 1, ' / win:', 99, ' / p1Winner:', 54, ' / statistics:', [(u'average_q', 1.5696220222440693), (u'average_loss', 0.11473255593658396)], ' / epsilon:', 0.99149716)
('episode:', 8000, ' /move_cnt:', 2331, ' / rnd:', 2308, ' / miss:', 0, ' / win:', 100, ' / p1Winner:', 47, ' / statistics:', [(u'average_q', 1.712254429675945), (u'average_loss', 0.1338366733233618)], ' / epsilon:', 0.99139258)
('episode:', 8100, ' /move_cnt:', 2375, ' / rnd:', 2358, ' / miss:', 1, ' / win:', 99, ' / p1Winner:', 42, ' / statistics:', [(u'average_q', 1.733430378709491), (u'average_loss', 0.1175416433258532)], ' / epsilon:', 0.9912808)
('episode:', 8200, ' /move_cnt:', 2464, ' / rnd:', 2437, ' / miss:', 1, ' / win:', 99, ' / p1Winner:', 37, ' / statistics:', [(u'average_q', 1.8749536027466687), (u'average_loss', 0.14500999629054162)], ' / epsilon:', 0.99117586)
('episode:', 8300, ' /move_cnt:', 2605, ' / rnd:', 2584, ' / miss:', 0, ' / win:', 100, ' / p1Winner:', 57, ' / statistics:', [(u'average_q', 1.89297292896388), (u'average_loss', 0.12476371461835735)], ' / epsilon:', 0.99105832)
('episode:', 8400, ' /move_cnt:', 2517, ' / rnd:', 2491, ' / miss:', 1, ' / win:', 99, ' / p1Winner:', 54, ' / statistics:', [(u'average_q', 1.8257252270875888), (u'average_loss', 0.1244923446050059)], ' / epsilon:', 0.99094474)
('episode:', 8500, ' /move_cnt:', 2272, ' / rnd:', 2249, ' / miss:', 2, ' / win:', 98, ' / p1Winner:', 52, ' / statistics:', [(u'average_q', 1.95796632565615), (u'average_loss', 0.16709458562881058)], ' / epsilon:', 0.99084223)
('episode:', 8600, ' /move_cnt:', 2401, ' / rnd:', 2381, ' / miss:', 1, ' / win:', 99, ' / p1Winner:', 40, ' / statistics:', [(u'average_q', 1.9726591861956693), (u'average_loss', 0.14394153889411598)], ' / epsilon:', 0.99072883)
('episode:', 8700, ' /move_cnt:', 2138, ' / rnd:', 2122, ' / miss:', 2, ' / win:', 98, ' / p1Winner:', 54, ' / statistics:', [(u'average_q', 1.974191373422039), (u'average_loss', 0.18118083154611095)], ' / epsilon:', 0.9906328)
('episode:', 8800, ' /move_cnt:', 2402, ' / rnd:', 2381, ' / miss:', 2, ' / win:', 98, ' / p1Winner:', 42, ' / statistics:', [(u'average_q', 2.1773049391872497), (u'average_loss', 0.19223740688851065)], ' / epsilon:', 0.99053146)
('episode:', 8900, ' /move_cnt:', 2300, ' / rnd:', 2285, ' / miss:', 3, ' / win:', 97, ' / p1Winner:', 52, ' / statistics:', [(u'average_q', 2.329205023148356), (u'average_loss', 0.23206040636385025)], ' / epsilon:', 0.99042805)
